reference,pin,net,status
U_CELL_PROTECT,16,CELL0_FILTERED,candidate_connected
U_CELL_PROTECT,15,CELL1_FILTERED,candidate_connected
U_CELL_PROTECT,14,CELL2_FILTERED,candidate_connected
U_CELL_PROTECT,13,CELL2_FILTERED,candidate_connected
U_CELL_PROTECT,12,CELL2_FILTERED,candidate_connected
U_CELL_PROTECT,10,CELL2_FILTERED,candidate_connected
U_CELL_PROTECT,8,CELL2_FILTERED,candidate_connected
U_CELL_PROTECT,6,CELL2_FILTERED,candidate_connected
U_CELL_PROTECT,4,CELL2_FILTERED,candidate_connected
U_CELL_PROTECT,2,CELL2_FILTERED,candidate_connected
U_CELL_PROTECT,48,CELL3_FILTERED,candidate_connected
U_CELL_PROTECT,17,CELL_B_MINUS,candidate_connected
U_CELL_PROTECT,43,BQ76942_DSG_43,candidate_connected
U_CELL_PROTECT,45,BQ76942_CHG_45,candidate_connected
U_CELL_PROTECT,41,BQ_LD,candidate_connected
U_CELL_PROTECT,42,BQ_PACK,candidate_connected
U_CELL_PROTECT,47,BQ_BAT_HOLD,candidate_connected
U_CELL_PROTECT,24,BQ_REG18,candidate_connected
U_CELL_PROTECT,46,BQ_CP1,candidate_connected
U_CELL_PROTECT,18,BQ_SRP,candidate_connected
U_CELL_PROTECT,20,BQ_SRN,candidate_connected
U_CELL_PROTECT,21,BQ_TS_CELL,candidate_connected
U_CELL_PROTECT,23,BQ_TS_FET,candidate_connected
U_CELL_PROTECT,1,,NC
U_CELL_PROTECT,3,,NC
U_CELL_PROTECT,5,,NC
U_CELL_PROTECT,7,,NC
U_CELL_PROTECT,9,,NC
U_CELL_PROTECT,11,,NC
U_CELL_PROTECT,19,,NC
U_CELL_PROTECT,44,,NC
U_CELL_PROTECT,28,,UNUSED_OPEN
U_CELL_PROTECT,31,,UNUSED_OPEN
U_CELL_PROTECT,32,,UNUSED_OPEN
U_CELL_PROTECT,34,,UNUSED_OPEN
U_CELL_PROTECT,35,,UNUSED_OPEN
U_CELL_PROTECT,38,,UNUSED_OPEN
U_CELL_PROTECT,36,CELL_B_MINUS,candidate_connected
U_CELL_PROTECT,37,CELL_B_MINUS,candidate_connected
U_CELL_PROTECT,22,,UNRESOLVED
U_CELL_PROTECT,25,,UNRESOLVED
U_CELL_PROTECT,26,,UNRESOLVED
U_CELL_PROTECT,27,,UNRESOLVED
U_CELL_PROTECT,29,,UNRESOLVED
U_CELL_PROTECT,30,,UNRESOLVED
U_CELL_PROTECT,33,,UNRESOLVED
U_CELL_PROTECT,39,,UNRESOLVED
U_CELL_PROTECT,40,,UNRESOLVED
Q_CHG,1,CELL_POS_FUSED,candidate_connected
Q_CHG,2,CELL_POS_FUSED,candidate_connected
Q_CHG,3,CELL_POS_FUSED,candidate_connected
Q_CHG,4,CHG_GATE,candidate_connected
Q_CHG,5,PACK_FET_MID,candidate_connected
Q_CHG,6,PACK_FET_MID,candidate_connected
Q_CHG,7,PACK_FET_MID,candidate_connected
Q_CHG,8,PACK_FET_MID,candidate_connected
Q_CHG,exposed_drain_pad,PACK_FET_MID,candidate_connected
Q_DSG,1,PACK_POS_PROTECTED,candidate_connected
Q_DSG,2,PACK_POS_PROTECTED,candidate_connected
Q_DSG,3,PACK_POS_PROTECTED,candidate_connected
Q_DSG,4,DSG_GATE,candidate_connected
Q_DSG,5,PACK_FET_MID,candidate_connected
Q_DSG,6,PACK_FET_MID,candidate_connected
Q_DSG,7,PACK_FET_MID,candidate_connected
Q_DSG,8,PACK_FET_MID,candidate_connected
Q_DSG,exposed_drain_pad,PACK_FET_MID,candidate_connected
R_GATE_CHG,1,BQ76942_CHG_45,candidate_connected
R_GATE_CHG,2,CHG_GATE,candidate_connected
R_GS_CHG,1,CHG_GATE,candidate_connected
R_GS_CHG,2,CELL_POS_FUSED,candidate_connected
D_GS_CHG,1,CHG_GATE,candidate_connected
D_GS_CHG,2,CELL_POS_FUSED,candidate_connected
R_GATE_DSG,1,BQ76942_DSG_43,candidate_connected
R_GATE_DSG,2,DSG_GATE,candidate_connected
R_GS_DSG,1,DSG_GATE,candidate_connected
R_GS_DSG,2,PACK_POS_PROTECTED,candidate_connected
D_GS_DSG,1,DSG_GATE,candidate_connected
D_GS_DSG,2,PACK_POS_PROTECTED,candidate_connected
R_CELL_0,1,CELL_B_MINUS,candidate_connected
R_CELL_0,2,CELL0_FILTERED,candidate_connected
R_CELL_1,1,CELL1_TAP,candidate_connected
R_CELL_1,2,CELL1_FILTERED,candidate_connected
R_CELL_2,1,CELL2_TAP,candidate_connected
R_CELL_2,2,CELL2_FILTERED,candidate_connected
R_CELL_3,1,CELL3_TAP,candidate_connected
R_CELL_3,2,CELL3_FILTERED,candidate_connected
C_F0_0,1,CELL0_FILTERED,candidate_connected
C_F0_0,2,FILTER_0_MID,candidate_connected
C_F0_1,1,CELL0_FILTERED,candidate_connected
C_F0_1,2,FILTER_0_MID,candidate_connected
C_F0_2,1,CELL0_FILTERED,candidate_connected
C_F0_2,2,FILTER_0_MID,candidate_connected
C_F0_3,1,FILTER_0_MID,candidate_connected
C_F0_3,2,CELL_B_MINUS,candidate_connected
C_F0_4,1,FILTER_0_MID,candidate_connected
C_F0_4,2,CELL_B_MINUS,candidate_connected
C_F0_5,1,FILTER_0_MID,candidate_connected
C_F0_5,2,CELL_B_MINUS,candidate_connected
C_F1_0,1,CELL1_FILTERED,candidate_connected
C_F1_0,2,FILTER_1_MID,candidate_connected
C_F1_1,1,CELL1_FILTERED,candidate_connected
C_F1_1,2,FILTER_1_MID,candidate_connected
C_F1_2,1,CELL1_FILTERED,candidate_connected
C_F1_2,2,FILTER_1_MID,candidate_connected
C_F1_3,1,FILTER_1_MID,candidate_connected
C_F1_3,2,CELL0_FILTERED,candidate_connected
C_F1_4,1,FILTER_1_MID,candidate_connected
C_F1_4,2,CELL0_FILTERED,candidate_connected
